timestamp,depositorAddress,yieldToken,underlyingBalance,userDebt
1714521600,0x5ca51c0bb6dbdf29465daeb3f5dbd37074133467,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,1000000,485448817012202060
1714521600,0x5ca51c0bb6dbdf29465daeb3f5dbd37074133467,0x5979d7b546e38e414f7e9822514be443a4800529,986238477170339,5447747025772426
1714521600,0x5ca51c0bb6dbdf29465daeb3f5dbd37074133467,0xdc8eb117a9987cf2ed45e9082adc13c03922fa0a,10000000000000000,5447747025772426
1714521600,0x7def8f1c4dd7579e3ba6a8a59a1e7fb4f467ac43,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,16716514,8282177084381786480
1714521600,0x2330eb2d92167c3b6b22690c03b508e0ca532980,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,185309404,92654702000000000000
1714521600,0x2330eb2d92167c3b6b22690c03b508e0ca532980,0x5979d7b546e38e414f7e9822514be443a4800529,110900816515993846,9776856394803962
1714521600,0x8e4997298aad00b74dc55662e5aae9ab16c1527a,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,230037,-1046947238674334
1714521600,0x8e4997298aad00b74dc55662e5aae9ab16c1527a,0x5979d7b546e38e414f7e9822514be443a4800529,8593399331761,-18002688691
1714521600,0x8bf7314a19a4e66d0bfad235f3422464292a948d,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,4996356,-22739334186397097
1714521600,0xd8a1247d11e46bafd584dcf3bcf1995d1e3538b1,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,980535405,485805106568866056571
1714521600,0xd8a1247d11e46bafd584dcf3bcf1995d1e3538b1,0x5979d7b546e38e414f7e9822514be443a4800529,145969769887197971,72642462510144174
1714521600,0x806d4b1af2452ddafca92a2eb7880bdb7fe4fdd0,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,31491944,15596674401372631043
1714521600,0x42c9a3f034592c39028aea70a6e69fbc6ccf6c31,0x5979d7b546e38e414f7e9822514be443a4800529,5784726138878437,2885591904534691
1714521600,0xf153fb08c86a5c4c10bbf31617467000e2c8ea4e,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,10000003676,-45511845309806932020
1714521600,0x638da903f696142d7d2499106aa7a57105e6ef5f,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,4820810341,-17389208593156604801
1714521600,0xbabfae0dafab8bdf91162360ab0c6f8a4d21774e,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,155000,-705439989688929
1714521600,0xf9c6f2ac725fd4497de30d0d3d7c65d578c2d864,0x248a431116c6f6fcd5fe1097d16d0597e24100f5,69419974,34393957001128181846
